Entry Date,Exit Date,Stock,Trade Type,Shares,Entry Price,Exit Price,Capital Allocated,Stock return,Reason,weight,portfolio return,profit/loss,portfolio value,Cumulative Return
28-10-2016,30-11-2016,BAJFINANCE.NS,Long,49,1048.332275,899.03125,51368.28147,-0.142417656,End of Period,0.244757272,-0.034857757,-7315.750225,205776.1237,1.020573906
30-11-2016,30-12-2016,HDFCBANK.NS,Long,288,563.5991211,566.6999512,162316.5469,0.005501836,End of Period,0.79032882,0.00434826,893.0390688,206557.0082,1.029359886
30-12-2016,31-01-2017,HDFCBANK.NS,Long,294,566.6999512,604.4971924,166609.7857,0.066697096,End of Period,0.806858473,0.053815117,11112.38891,217670.6384,1.138570126
30-12-2016,31-01-2017,SBIN.NS,Long,170,233.3886871,242.85672,39676.07681,0.04056766,End of Period,0.193141527,0.0078353,1609.565593,208167.8151,1.155326464
31-01-2017,28-02-2017,SBIN.NS,Long,279,242.85672,251.1120453,67757.02488,0.033992575,End of Period,0.309699196,0.010527473,2303.235759,221595.8875,1.178016606
31-01-2017,28-02-2017,HDFCBANK.NS,Long,250,604.4971924,653.1002197,151124.2981,0.080402404,End of Period,0.690300804,0.055501844,12150.75683,231443.4086,1.298900543
28-02-2017,31-03-2017,HDFCBANK.NS,Long,261,653.1002197,677.7424927,170459.1573,0.037731228,End of Period,0.730000525,0.027543816,6431.633253,240204.0291,1.362221037
28-02-2017,31-03-2017,SBIN.NS,Long,251,251.1120453,273.6860046,63029.12337,0.089895964,End of Period,0.269999475,0.024271863,5666.063784,239438.4596,1.419556542
31-03-2017,28-04-2017,HDFCBANK.NS,Long,238,677.7424927,726.5805664,161302.7133,0.072059926,End of Period,0.657207324,0.047358311,11623.46154,257508.9327,1.534142653
28-04-2017,31-05-2017,SBIN.NS,Long,362,270.2812805,271.3607178,97841.82354,0.003993755,End of Period,0.379972699,0.001517518,390.7563026,257920.9481,1.53798826
28-04-2017,31-05-2017,HDFCBANK.NS,Long,219,726.5805664,768.7235718,159121.144,0.058001834,End of Period,0.620027301,0.035962721,9229.318183,266759.51,1.629261223
31-05-2017,30-06-2017,HDFCBANK.NS,Long,204,768.7235718,781.3277588,156819.6086,0.016396254,End of Period,0.587916385,0.009639626,2571.254148,269753.739,1.654606319
